Mod,WR (Main cat.),WR for,Runners,Difficulty,Optimization,Guides,Segmented/TAS,Extra,RTSL,ModDB,Steam,HL1 mov,Tags,,,,,,,,,,,,,WR for
LiberationVille,35:50 / owerfloww,98 days,1,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,
Local-Motive,20.805 / Lyren,75 days,2,★★☆☆☆,☆☆☆☆☆,-,-,-,,,,?,,,,,,,,,,,,,,
Local Motive: Definitive Edition,27.885 / Lyren,54 days,7,★★☆☆☆,★★★☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,791 
Logistique Act. 1,9:22.33 / Lyren,791 days,2,★★☆☆☆,★★☆☆☆,-,-,-,✓,✓,✓,?,?,,,,,,,,,,,,,
MINERVA: Metastasis,13:32 / Lyren,718 days,2,★★★★☆,★☆☆☆☆,-,Mushr00m's 17:48 (HL1 Movement) ,-,✓,✓,✓,✓,Free OOB,,,,,,,,,,,,,772 
Mission Improbable,5:00.66 / Lyren,772 days,2,★★★★☆,★★☆☆☆,-,SourceRuns 4:32 /  2:56 /   2:07.11,-,✓,✓,🞪,?,?,,,,,,,,,,,,,1446 
NEOTOKYO Kshatriya (Demo),2:10 / Lyren,1446 days,3,★★☆☆☆,☆☆☆☆☆,-,-,-,🞪,✓,🞪,?,?,,,,,,,,,,,,,939 
Nightmare House 2,36:51 / Kalifron4ik,939 days,4,☆☆☆☆☆,☆☆☆☆☆,-,Centaur1um's 35:48,official website,✓,✓,🞪,partly,?,,,,,,,,,,,,,202 
PhaseVille,33:38 / owerfloww,202 days,5,★★★☆☆,★★☆☆☆,-,-,-,✓,🞪,🞪,🞪,?,,,,,,,,,,,,,
Penetration,6:33.810 / owerfloww,308 days,1,☆☆☆☆☆,☆☆☆☆☆,-,SourceRuns 3:14,-,✓,✓,🞪,?,,,,,,,,,,,,,,1431 
Power Tower,2:45.285 / Lyren,157 days,1,★★☆☆☆,★☆☆☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,
Precursor,8:10 / PenPerson,1431 days,4,★★☆☆☆,★★☆☆☆,-,SourceRuns 4:42.015,-,✓,✓,🞪,?,Propclip,,,,,,,,,,,,,
Prisoner,8:31.23 / Lyren,212 days,2,★★☆☆☆,★☆☆☆☆,-,-,-,🞪,✓,🞪,?,,,,,,,,,,,,,,206 
Prospekt,28:35 / Lyren,206 days,3,★★☆☆☆,☆☆☆☆☆,-,-,MaDD's 2016 marathon run,🞪,🞪,✓,?,?,,,,,,,,,,,,,1466 
Raising the Bar: Redux (DIV 1.2),45:58 / Lyren,1466 days,1,☆☆☆☆☆,☆☆☆☆☆,-,-,-,🞪,✓,🞪,?,?,,,,,,,,,,,,,341 
Ravenholm,12:42 / Enterprise,341 days,3,☆☆☆☆☆,☆☆☆☆☆,-,-,-,🞪,✓,🞪,✓,No sprint,,,,,,,,,,,,,
